abilitynames	开关是否在对应图标旁显示特殊武器招式名称。
afk	开关是否告示他人汝乃暂离键盘（AFK）。
ancient	开关法术源自钻研行囊抑或太古法术书。
autoattack	开关受袭时是否自动还击。
bandother	为他人包扎。
bandself	为己包扎。
barbaric	开关蛮荒风味叙事（详见文末）。
c	唤起交谈界面。
corpse	协寻残躯。
corpseclear	清除甲板上的尸体。
e	开启简短表情窗口。
emote	开启表情窗口。
evil	开关邪恶风味叙事（详见文末）。
feats	开启功绩界面。
loot	自动于寻常地城宝箱或尸体收取特定器物置入行囊；未知之物须经辨识方可知其究竟，然汝仍可擅自收纳。试剂之类别有划分：法术技艺（Magery）与死灵术士试剂专属彼辈所用；女巫酿造试剂大抵归入死灵一脉；炼金试剂不在法术技艺与死灵试剂之列，惟炼金术士（alchemists）用之；草药试剂有益于德鲁伊草药术。
magicgate	协寻最近法术之门。
motd	开启当日要务告示。
oriental	开关东方风味叙事（详见文末）。
password	更易账号口令。
poisons	更改淬毒兵器之效：可作精密驾驭配合特殊兵器感染斩（默认），亦可改为单手劈刺兵器击中生效。
private	开关是否为城镇播报吏与街坊闲话详述汝之行履。
quests	展开卷轴以示若干任务记事。
quickbar	开启竖窄快捷列，汇集常用功能以利施用。
sad	开启兵器特殊招式。
set1	激活兵器第一招式。
set2	激活兵器第二招式。
set3	激活兵器第三招式。
set4	激活兵器第四招式。
set5	激活兵器第五招式。
sheathe	开关无事时是否收兵器入鞘。
skill	示汝诸技艺之用。
skilllist	呈示汝置为「上升」乃至「锁定」之技艺简表。
spellhue ##	此号令后随色相编号，可更易法术技艺视觉色相；值为「1」常等同于「0」，宜避以免事与愿违。
statistics	呈示本站若干统计数据。
regbar	开启试剂栏。
archspell1	开启第一道太古法术栏编辑器。
archspell2	开启第二道太古法术栏编辑器。
archspell3	开启第三道太古法术栏编辑器。
archspell4	开启第四道太古法术栏编辑器。
archtool1	开启第一道太古法术栏。
archtool2	开启第二道太古法术栏。
archtool3	开启第三道太古法术栏。
archtool4	开启第四道太古法术栏。
archclose1	阖第一道太古法术栏。
archclose2	阖第二道太古法术栏。
archclose3	阖第三道太古法术栏。
archclose4	阖第四道太古法术栏。
bardsong1	开启第一道吟游曲谱栏编辑器。
bardsong2	开启第二道吟游曲谱栏编辑器。
bardtool1	开启第一道吟游曲谱栏。
bardtool2	开启第二道吟游曲谱栏。
bardclose1	阖第一道吟游曲谱栏。
bardclose2	阖第二道吟游曲谱栏。
knightspell1	开启第一道骑士法术栏编辑器。
knightspell2	开启第二道骑士法术栏编辑器。
knighttool1	开启第一道骑士法术栏。
knighttool2	开启第二道骑士法术栏。
knightclose1	阖第一道骑士法术栏。
knightclose2	阖第二道骑士法术栏。
deathspell1	开启第一道死亡骑士法术栏编辑器。
deathspell2	开启第二道死亡骑士法术栏编辑器。
deathtool1	开启第一道死亡骑士法术栏。
deathtool2	开启第二道死亡骑士法术栏。
deathclose1	阖第一道死亡骑士法术栏。
deathclose2	阖第二道死亡骑士法术栏。
elementspell1	开启第一道元素法术栏编辑器。
elementspell2	开启第二道元素法术栏编辑器。
elementtool1	开启第一道元素法术栏。
elementtool2	开启第二道元素法术栏。
elementclose1	阖第一道元素法术栏。
elementclose2	阖第二道元素法术栏。
holyspell1	开启第一道祭司祷言栏编辑器。
holyspell2	开启第二道祭司祷言栏编辑器。
holytool1	开启第一道祭司祷言栏。
holytool2	开启第二道祭司祷言栏。
holyclose1	阖第一道祭司祷言栏。
holyclose2	阖第二道祭司祷言栏。
magespell1	开启第一道法师法术栏编辑器。
magespell2	开启第二道法师法术栏编辑器。
magespell3	开启第三道法师法术栏编辑器。
magespell4	开启第四道法师法术栏编辑器。
magetool1	开启第一道法师法术栏。
magetool2	开启第二道法师法术栏。
magetool3	开启第三道法师法术栏。
magetool4	开启第四道法师法术栏。
mageclose1	阖第一道法师法术栏。
mageclose2	阖第二道法师法术栏。
mageclose3	阖第三道法师法术栏。
mageclose4	阖第四道法师法术栏。
monkspell1	开启第一道僧侣异能栏编辑器。
monkspell2	开启第二道僧侣异能栏编辑器。
monktool1	开启第一道僧侣异能栏。
monktool2	开启第二道僧侣异能栏。
monkclose1	阖第一道僧侣异能栏。
monkclose2	阖第二道僧侣异能栏。
necrospell1	开启第一道死灵术士法术栏编辑器。
necrospell2	开启第二道死灵术士法术栏编辑器。
necrotool1	开启第一道死灵术士法术栏。
necrotool2	开启第二道死灵术士法术栏。
necroclose1	阖第一道死灵术士法术栏。
