Number;Text;Flag
500000;Reputation aversion triggered.;Original
500001;I have no reaction to you.;Original
500002;I am going home.;Original
500003;Searching.;Original
500004;Idle, wandering.;Original
500005;Bugging out of combat due to flags.;Original
500006;You are no longer muted.;Original
500007;You are no longer frozen.;Original
500008;You are no longer invulnerable.;Original
500009;Swinging;Original
500010;No scripts;Original
500011;No vars;Original
500012;You cannot use skills while dead.;Original
500013;You cannot use skills.;Original
500014;That skill cannot be used directly.;Original
500015;You do not have that spell!;Original
500016;You do not have that spell!;Original
500017;Bank is now ON!;Original
500018;Bank is now OFF;Original
500019;Bad param.  Bank is currently ON;Original
500020;Bad param.  Bank is currently OFF;Original
500021;Usage: .addres bank|world resourcetype (amount);Original
500022;You are not in a resource region.;Original
500023;Bad sethue.;Original
500024;Opening door...;Original
500025;Mem report written;Original
500026;Could not open file for appending;Original
500027;Memory debugging not enabled;Original
500028;Could not open reslist.txt for writing on server;Original
500029;Wrote reslist.txt on server;Original
500030;Truuuuuuuue.;Original
500031;Nosir.;Original
500032;No such object.;Original
500033;Target not found.;Original
500034;Target not found.;Original
500035;Target not found.;Original
500036;Target not found.;Original
500037;Usage: become template_number;Original
500038;Success!;Original
500039;Failed!;Original
500040;Game master mode on;Original
500041;Game master mode off;Original
500042;Usage: gm [on|off];Original
500043;Target not found.;Original
500044;Target not found.;Original
500045;Target not found.;Original
500046;Target not found.;Original
500047;Target not found.;Original
500048;Target not found.;Original
500049;Target not found.;Original
500050;Target not found.;Original
500051;Target not found.;Original
500052;Target not found.;Original
500053;Target not found.;Original
500054;Target not found.;Original
500055;Target not found.;Original
500056;Fight started;Original
500057;Target not found.;Original
500058;Teleport storm started.;Original
500059;Object not found;Original
500060;Object not found;Original
500061;Object not found;Original
500062;Usage: getplayers num x y z;Original
500063;Player not found;Original
500064;Player not found;Original
500065;Object not found;Original
500066;Usage: multi_repos id x y z;Original
500067;Done!;Original
500068;Invalid multi template id;Original
500069;Usage: multi_nosend id value;Original
500070;Done!;Original
500071;Invalid multi template id;Original
500072;Usage: decay_test value;Original
500073;Decay test on!;Original
500074;Decay test off!;Original
500075;Starting atrophy.;Original
500076;Invalid transfer location;Original
500077;Invalid transfer location;Original
500078;Jailing player;Original
500079;You have no current player set, sorry;Original
500080;Victim has no unjail location set, use release.;Original
500081;Unjailing player;Original
500082;You have no current player set, sorry;Original
500083;Invalid release location;Original
500084;Sorry, that would transfer a non-Gold player to a Gold area.;Original
